jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-421511,跟踪1237895 重复单,NLU误映射“抽烟”为开窗，外循环指令缺失，修复8775-0109已确认 [详情: D:\program16\docs\2026-08-31\VCU-421511_comments.md],0.934,是,
VCU-421581,"同:1240320,跟踪1240320单，关闭此单",NLU节点异常已修复，座椅通风关联待查 [详情: D:\program16\docs\2026-08-31\VCU-421581_comments.md],0.619,否,置信度0.619<0.7，语义相似度0.2<0.7
VCU-421598,语义问题,随机轮换模式解析异常致语音拒识，根因已定位并修复验证 [详情: D:\program16\docs\2026-08-31\VCU-421598_comments.md],0.905,是,
VCU-421787,TTS返回错误。,NLU意图解析异常致三排大床模式切换失败，已修复验证 [详情: D:\program16\docs\2026-08-31\VCU-421787_comments.md],0.855,是,
VCU-421789,座椅理疗模式时长缩短一小时/座椅理疗模式时长减少一小时，无语义下发，修改技能下发时序，预计30号可验证 其余反馈内置语义处理，预计0202发版，0203验证,理疗语音指令偶发异常，版本间复现不稳定，根因未明 [详情: D:\program16\docs\2026-08-31\VCU-421789_comments.md],0.511,否,置信度0.511<0.7，语义相似度0.2<0.7
VCU-421818,不是bug,语音服务崩溃致指令丢失，日志缺失待补证 [详情: D:\program16\docs\2026-08-31\VCU-421818_comments.md],0.539,否,置信度0.539<0.7，语义相似度0.515<0.7
VCU-421970,对话归一问题,语义解析异常致遮阳帘开度不足，0115版本仍复现待查 [详情: D:\program16\docs\2026-08-31\VCU-421970_comments.md],0.888,是,
VCU-423093,使用 powertainmanager 前没有初始化 VehicleController,RPC注册晚于请求，类型不匹配致误判失败 [详情: D:\program16\docs\2026-08-31\VCU-423093_comments.md],0.546,否,置信度0.546<0.7，语义相似度0.475<0.7
VCU-423625,当前实车环境无法复现该问题,云端缓存未感知离线，致指令失败3V006，短信唤醒恢复 [详情: D:\program16\docs\2026-08-31\VCU-423625_comments.md],0.541,否,置信度0.541<0.7，语义相似度0.472<0.7
VCU-424269,根据PLM回复，接受现状，在RSE2.0中修复,VCU迎宾模式抢占指令，ND557待RSE2.0修复 [详情: D:\program16\docs\2026-08-31\VCU-424269_comments.md],0.546,是,
VCU-425029,用户设置备车时香氛存在，但是后续香氛被拔出，这个时候预约备车应该先对用户展示了备车成功，然后再将香氛实际状态更新出来，这个设计认为是合理的,香氛卡未插，浓度误报70%，疑似插入状态判断缺陷 [详情: D:\program16\docs\2026-08-31\VCU-425029_comments.md],0.55,否,置信度0.55<0.7，语义相似度0.2<0.7
VCU-431772,,,,否,Jira根因分析内容为空
VCU-436082,,,,否,Jira根因分析内容为空
VCU-437309,功能未到打开节点，VC8.0打开,远光灯失效已定位，补丁修复并发布 [详情: D:\program16\docs\2026-08-31\VCU-437309_comments.md],0.55,否,置信度0.55<0.7，语义相似度0.537<0.7
VCU-437323,,,,否,Jira根因分析内容为空
VCU-440216,,,,否,Jira根因分析内容为空
VCU-445077,BDF-F1为在164报文上反馈远光灯的状态信号,远光灯失控，BDF未改164信号值致逻辑异常 [详情: D:\program16\docs\2026-08-31\VCU-445077_comments.md],0.0,是,
VCU-445324,协议修改,云端协议链路可用，但“四座尊享”指令失败点未定位，日志缺失待查 [详情: D:\program16\docs\2026-08-31\VCU-445324_comments.md],0.686,否,置信度0.686<0.7，语义相似度0.15<0.7
VCU-445371,,,,否,Jira根因分析内容为空
VCU-446557,功能未到打开节点，VC8.0打开,VHAL属性获取失败及configArray为空致AHBA不可用，待CAN trace确认根因 [详情: D:\program16\docs\2026-08-31\VCU-446557_comments.md],0.62,否,置信度0.62<0.7，语义相似度0.6<0.7
VCU-449186,首轮拒识，次轮会落闲聊，反馈修复,语音指令误识别致语义解析失败，根因已定位 [详情: D:\program16\docs\2026-08-31\VCU-449186_comments.md],0.539,否,置信度0.539<0.7，语义相似度0.2<0.7
VCU-449447,需求变更,语音控制顶灯失效，TTS无响应且信号未下发，待排查 [详情: D:\program16\docs\2026-08-31\VCU-449447_comments.md],0.656,否,置信度0.656<0.7，语义相似度0.381<0.7
VCU-468531,网关someip avl状态在str下已知问题，存在快速状态切换。在此切换期间，someip unavl时收到了远控服务的车速订阅请求，由于someip不可用未执行向下订阅。继而在此轮13s的按需订阅周期内，someip avl恢复，且收到新的一次车速订阅请求，coreservice未退出上一轮状态机未向下订阅，直到13s超时取消订阅后，有新请求过来，功能恢复。,订阅晚于恢复，CoreService取消致车速topic漏报 [详情: D:\program16\docs\2026-08-31\VCU-468531_comments.md],0.525,是,
VCU-471542,第三方,SOME/IP订阅成功但未收到topic数据，待香氛专家排查 [详情: D:\program16\docs\2026-08-31\VCU-471542_comments.md],0.851,是,
VCU-471552,第三方,总线信号无响应，RPC处理环节异常，日志断层待查 [详情: D:\program16\docs\2026-08-31\VCU-471552_comments.md],0.503,否,置信度0.503<0.7，语义相似度0.1<0.7
VCU-478178,null,远程启动失败：信号异常致超时，需核对配置 [详情: D:\program16\docs\2026-08-31\VCU-478178_comments.md],0.928,是,
VCU-480105,车窗的状态高频上报可能引起coreservice时序出错上报,车窗状态未更新，coreService上报链路中断 [详情: D:\program16\docs\2026-08-31\VCU-480105_comments.md],0.0,是,
VCU-486487,,,,否,Jira根因分析内容为空
VCU-489032,第三方,远光灯指令缺lowbeam字段，致VCU信号丢失 [详情: D:\program16\docs\2026-08-31\VCU-489032_comments.md],0.626,否,置信度0.626<0.7，语义相似度0.31<0.7
VCU-489130,已在博世实车的两个VC版本上复测，不复现,网络标志位未恢复致建联失败，待BOSCH确认 [详情: D:\program16\docs\2026-08-31\VCU-489130_comments.md],0.702,是,
VCU-489274,,,,否,Jira根因分析内容为空
VCU-491630,远控遮阳帘不上线，关闭此问题。,软件版本缺陷致下电执行失败，待需求确认 [详情: D:\program16\docs\2026-08-31\VCU-491630_comments.md],0.863,是,
VCU-494075,应FO 要求问题关闭,并发发包致Poll超时，触发2B017错误码 [详情: D:\program16\docs\2026-08-31\VCU-494075_comments.md],0.942,是,
VCU-498169,根因同VCU-498177，board id兼容问题,中控显示链路异常致无图层输出，待Bosch排查 [详情: D:\program16\docs\2026-08-31\VCU-498169_comments.md],0.545,否,置信度0.545<0.7，语义相似度0.1<0.7
VCU-512909,BDF机电层再C1项目上变更原子能力使用策略后，C1遮阳帘控制改为使用新的原子能力，远程产品线未被同步,RPC天窗失效，LIN位置信号恒0，疑VCU或硬件变更影响 [详情: D:\program16\docs\2026-08-31\VCU-512909_comments.md],0.539,否,置信度0.539<0.7，语义相似度0.2<0.7
VCU-514467,[^gmlogger_2026_6_30_15_41_48.z01],车端前链路延迟近2分钟，需后台抓包定位 [详情: D:\program16\docs\2026-08-31\VCU-514467_comments.md],0.637,否,置信度0.637<0.7，语义相似度0.352<0.7
VCU-514916,网络模块发送7539时MCU处于休眠状态，未接收到,ICM已知缺陷致VCU无网，备车及上游待查 [详情: D:\program16\docs\2026-08-31\VCU-514916_comments.md],0.956,是,
VCU-515011,,,,否,Jira根因分析内容为空
VCU-523000,编译版本时使用了 8775的apk,RPC超时未回调致2B017，车端验证通过，待查gear及链路 [详情: D:\program16\docs\2026-08-31\VCU-523000_comments.md],0.65,否,置信度0.65<0.7，语义相似度0.421<0.7
VCU-523002,编译版本时使用了 8775的apk,车端版本缺陷致远控上锁失败，升级验证通过；HAL下发ECU执行失败待查 [详情: D:\program16\docs\2026-08-31\VCU-523002_comments.md],0.535,否,置信度0.535<0.7，语义相似度0.486<0.7
VCU-523014,mqttmp 探测器服务pod内部网络异常，已修复，请重新测试，谢谢,MQTTMP损坏致powerMode=2误触发短信唤醒 [详情: D:\program16\docs\2026-08-31\VCU-523014_comments.md],0.774,是,
VCU-525874,车型PM给的车能力错误,配置缺失致执行器无响应，待查上层调用逻辑 [详情: D:\program16\docs\2026-08-31\VCU-525874_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.2<0.7
VCU-530446,灯光中发送someip请求格式错误,信号设置后100ms归零致远近光指令丢失 [详情: D:\program16\docs\2026-08-31\VCU-530446_comments.md],0.523,否,置信度0.523<0.7，语义相似度0.1<0.7
VCU-53182,root cause:当前软件持续无法复现该问题，原Log不足，无法分析，所以需要走不复现流程 solution：请验证同时测试三个版本 验证版本：PATAC=458_163_ppv3-20220508-RQB23C-79;验证20次未复现问题，继续观察 验证版本：PATAC= 458_R2_NS1-20220528-RQB23C-6; 台架验证10次 未复现问题 验证版本：PATAC= 458_,ACall与ECall音量组别差异致挂断后音量异常，复测不稳定待查 [详情: D:\program16\docs\2026-08-31\VCU-53182_comments.md],0.754,是,
VCU-534716,车窗触发防夹导致,右后窗偶发防夹误触发，原因未明待查 [详情: D:\program16\docs\2026-08-31\VCU-534716_comments.md],0.975,是,
VCU-536319,,,,否,Jira根因分析内容为空
VCU-537074,版本打包问题,初始化时序缺陷致CarPropertyExtensionManager空引用报错 [详情: D:\program16\docs\2026-08-31\VCU-537074_comments.md],0.711,是,
VCU-537348,REASON_PM_NON_OFF 错误状态没有映射到ConstantConnectUnavailableReason,VCU静默丢NTF，补丁待车端验证 [详情: D:\program16\docs\2026-08-31\VCU-537348_comments.md],0.916,是,
VCU-537367,"{noformat} Precondition 唤醒车机；车机启动正常 Operation 1、导出安卓gmlogger日志 2、执行 Android Selinux 脚本扫描lgmlogger日志 Observation 测试结果中存有进程权限问题 Filed against to PATAC, 7 Logs for Source Context u:r:system_app:s0: ['loc",SELinux权限疑云，补丁修复后版本已解决 [详情: D:\program16\docs\2026-08-31\VCU-537367_comments.md],0.554,是,
VCU-537386,【直接原因】在特定车辆配置变更的场景下，系统未能正确调用车标位置更新方法，导致车标位置显示异常。 【根本原因】需求文档中未明确指出在车辆配置变更时需要更新车标位置，导致开发人员在实现功能时忽略了这一逻辑，最终在代码中缺少了调用相关方法的处理。,分屏切换致地图中心偏移，type逻辑不一致且未验证修复 [详情: D:\program16\docs\2026-08-31\VCU-537386_comments.md],0.602,否,置信度0.602<0.7，语义相似度0.15<0.7
VCU-537403,,,,否,Jira根因分析内容为空
VCU-537460,,,,否,Jira根因分析内容为空
VCU-537757,云端服务实例某个节点重启时 遭遇数据库连接超时 加载配置信息失败， 导致 c2d 消息下发 探测设备在线永远失败，一定触发离线短信唤醒,云端离线判定逻辑存疑，CommProxy异常待查 [详情: D:\program16\docs\2026-08-31\VCU-537757_comments.md],0.636,否,置信度0.636<0.7，语义相似度0.35<0.7
VCU-537758,第三方问题,车门锁执行异常且反馈缺失，MAC校验待查 [详情: D:\program16\docs\2026-08-31\VCU-537758_comments.md],0.921,是,
VCU-538296,"任务状态查询下发过早master 在 05:54:56 就下发，但 LogUploader/Twin 要到 05:55:00~01 才注册完成,导致没有收到同步请求。",云端离线因注册链路断裂，差异待查 [详情: D:\program16\docs\2026-08-31\VCU-538296_comments.md],0.425,否,置信度0.425<0.7，语义相似度0.2<0.7
VCU-538491,,,,否,Jira根因分析内容为空
VCU-538677,,,,否,Jira根因分析内容为空
VCU-538862,,,,否,Jira根因分析内容为空
VCU-538864,,,,否,Jira根因分析内容为空
VCU-76192,"根本原因：smartcontrol 自动远光灯，在 IPC仪表控制 灯光时，信号下发的流程是 : Action 。（在手指松开抬起时，没有下发 noAction） 短期方案：smartcontrol 自动远光灯，在 IPC仪表控制 灯光时，信号下发的流程是 : Action 。并且 在手指松开抬起时，需要下发 noAction , 即信号按照这个 流程下发 ： On--> No Action 长期",VCU策略缺失致AHBA未自动切换，待软件更新 [详情: D:\program16\docs\2026-08-31\VCU-76192_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.2<0.7
